"Metabolites";"T.Statistic";"P.Value";"Log2.Fold.Change"
"Urea";1.82498870866995;0.0774364869439381;0.0365226876695268
"Glycine";-1.15973800986255;0.255254367263926;-0.0142437855074665
"Pyruvate";-1.28059605192978;0.211034712863796;-0.0222450982452493
"Lactate";1.79126346427059;0.0825935845118898;0.0298028123494646
"Sarcosine";-1.06586913149399;0.294194493237239;-0.00775668919585765
"Alanine";-0.312183683472539;0.757240596522373;-0.00266817853480914
"X2.HYDROXYPYRIDINE.isomer";-0.31884661941037;0.7519187544022;-0.00529691489932195
"G.aminobutyricacid.Isomers";0.107333597837966;0.915458307180129;0.00235295854655393
"N.N.dimethylglycine";-0.57768154003164;0.568722768023495;-0.00772054227191279
"Choline";-1.25329186672161;0.220258002367421;-0.0178990424266173
"Serine";-1.2665119485102;0.214493870979453;-0.017274891623379
"DIETHANOLAMINE";1.6811385307378;0.101901412854325;0.0264166687772098
"Hypotaurine";-1.20700115624957;0.239175485849573;-0.0252547433297477
"Uracil";1.54766749244438;0.131395567006264;0.0512463264647108
"Cytosine";0.0465271114056941;0.963295567292499;0.000707955956151287
"HISTAMINE";-3.05263948559417;0.00452097712044041;-0.0661370747450907
