MetaboliteName;KEGG_Pathways_Total_Metabolites;KEGG.ID;CommonName;CAS;PubChem;ChEBI;mzPos;mzNEG;RT;PathwayID;PathwayName;"PathwayClass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Guanidine;NA;C17349;"Guanidine; Carbamidine";113-00-8;135626098;NA;60.05562;58.04107;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Urea;Urea;C00086;"Urea; Carbamide";57-13-6;3386;16199;61.03964;59.02509;0;"hsa00220; hsa00230; hsa00240; hsa00330; hsa00780; hsa02010; hsa05120";"Arginine biosynthesis; Purine metabolism; Pyrimidine metabolism; Arginine and proline metabolism; Biotin metabolism; ABC transporters; Epithelial cell signaling in Helicobacter pylori infection";"Metabolism; Amino acid metabolism; Nucleotide metabolism; Metabolism of cofactors and vitamins; Environmental Information Processing; Membrane transport; Human Diseases; Infectious disease: bacterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Imidazole,NA,C01589,""Imidazole; Glyoxaline;"" 1";"3-Diazole""""";288-32-4;4744;16069;69.04472;67.03017;0;NA;NA;"NA"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;;;
Trimethylamine oxide;NA;C01104;"Trimethylamine N-oxide; (CH3)3NO";1184-78-7;4338;15724;75.06787;NA;0;NA;NA;"NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Glycine;Glycine;C00037;"Glycine; Aminoacetic acid; Gly";56-40-6;3339;15428;76.0393;74.02475;0;"hsa00120; hsa00230; hsa00260; hsa00310; hsa00440; hsa00470; hsa00480; hsa00630; hsa00730; hsa00860; hsa00970; hsa02010; hsa04080; hsa04721; hsa04974; hsa04978;"" hsa05230";"Primary bile acid biosynthesis""; Purine metabolism; Glycine";" serine and threonine metabolism; Lysine degradation; Phosphonate and phosphinate metabolism; D-Amino acid metabolism; Glutathione metabolism; Glyoxylate and dicarboxylate metabolism; Thiamine metabolism; Porphyrin metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; Neuroactive ligand-receptor interaction; Synaptic vesicle cycle; Protein digestion and absorption; Mineral absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Lipid metabolism; Nucleotide metabolism; Amino acid metabolism; Metabolism of other amino acids; Carbohydrate metabolism; Metabolism of cofactors and vitamins; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Signaling molecules and interaction; Organismal Systems; Nervous system; Digestive system; Human Diseases; Cancer: overview;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;
Glycolic acid;Glycolate;C00160;"Glycolate; Glycolic acid; Hydroxyacetic acid";79-14-1;3460;1 749 729 805;77.02332;75.00877;0;hsa00630;Glyoxylate and dicarboxylate metabolism;"Metabolism; Carbohydrate metabolism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Pyruvic acid;Pyruvate;C00022;"Pyruvate; Pyruvic acid; 2-Oxopropanoate; 2-Oxopropanoic acid; Pyroracemic acid";127-17-3;3324;1 536 132 816;89.02332;87.00877;3.19;"hsa00010; hsa00020; hsa00030; hsa00040; hsa00053; hsa00250; hsa00260; hsa00270; hsa00290; hsa00330; hsa00350; hsa00360; hsa00430; hsa00440; hsa00470; hsa00620; hsa00630; hsa00650; hsa00730; hsa00760; hsa00770; hsa00900; hsa04066; hsa04152; hsa04911; hsa04922; hsa04930; hsa04931; hsa05230;"" hsa05415";"Glycolysis / Gluconeogenesis""; Citrate cycle (TCA cycle); Pentose phosphate pathway; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Alanine";" aspartate and glutamate metabolism; Glycine";" serine and threonine metabolism; Cysteine and methionine metabolism; Valine";" leucine and isoleucine biosynthesis; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism; Taurine and hypotaurine metabolism; Phosphonate and phosphinate metabolism; D-Amino acid metabolism; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; Thiamine metabolism; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Terpenoid backbone biosynthesis; HIF-1 signaling pathway; AMPK signaling pathway; Insulin secretion; Glucagon signaling pathway; Type II diabetes mellitus; Insulin resistance; Central carbon metabolism in cancer;"" Diabetic cardiomyopathy""""";"Metabolism""; Carbohydrate metabolism; Amino acid metabolism; Metabolism of other amino acids; Metabolism of cofactors and vitamins; Metabolism of terpenoids and polyketides; Environmental Information Processing; Signal transduction; Organismal Systems; Endocrine system; Human Diseases; Endocrine and metabolic disease; Cancer: overview; Cardiovascular disease;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;
Isobutyric acid;NA;C02632;"2-Methylpropanoate; 2-Methylpropanoic acid; Isobutyric acid; Isobutanoate; Dimethylacetic acid; Isobutyrate";79-31-2;5612;16135;89.05971;87.04515;3.24;hsa04974;Protein digestion and absorption;"Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
"Putrescine,Putrescine,C00134,""Putrescine; 1";"4-Butanediamine; 1";"4-Diaminobutane; Tetramethylenediamine;"" Butane-1";"4-diamine""""";110-60-1;3434;17148;89.10732;87.09277;0;"hsa00330""; hsa00470; hsa00480; hsa02010; hsa04974";"Arginine and proline metabolism; D-Amino acid metabolism; Glutathione metabolism; ABC transporters; Protein digestion and absorption";"Metabolism; Amino acid metabolism; Metabolism of other amino acids; Environmental Information Processing; Membrane transport; Organismal Systems; Digestive system;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;;;
Alanine;L-Alanine;C00041;"L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine";56-41-7;3343;16977;90.05496;88.0404;7.58;"hsa00250; hsa00270; hsa00430; hsa00450; hsa00470; hsa00970; hsa02010; hsa04122; hsa04974; hsa04978;"" hsa05230";Alanine;" aspartate and glutamate metabolism""; Cysteine and methionine metabolism; Taurine and hypotaurine metabolism; Selenocompound metabolism; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; Sulfur relay system; Protein digestion and absorption; Mineral absorption;"" Central carbon metabolism in cancer""""";"Metabolism""; Amino acid metabolism; Metabolism of other amino acids; Genetic Information Processing; Translation; Environmental Information Processing; Membrane transport; Folding";" sorting and degradation; Organismal Systems; Digestive system; Human Diseases;"" Cancer: overview"""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;";;;;;;;;;;
