Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);NADPH;C00005;C21H30N7O17P3;x;745,4209;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);NADP+;C00006;C21H29N7O17P3;x;744,4129;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);Acetyl-CoA;C00024;C23H38N7O17P3S;x;809,5708;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-Glutamate;C00025;C5H9NO4;x;147,1293;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);2-Oxoglutarate;C00026;C5H6O5;x;146,0981;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);Oxaloacetate;C00036;C4H4O5;x;132,0716;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-Ornithine;C00077;C5H12N2O2;x;132,161;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-Leucine;C00123;C6H13NO2;x;131,1729;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);3-Methyl-2-oxobutanoic acid;C00141;C5H8O3;x;116,1152;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);Citrate;C00158;C6H8O7;x;192,1235;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-Valine;C00183;C5H11NO2;x;117,1463;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);4-Methyl-2-oxopentanoate;C00233;C6H10O3;x;130,1418;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);Isocitrate;C00311;C6H8O7;x;192,1235;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);2-Oxoadipate;C00322;C6H8O5;x;160,1247;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-Isoleucine;C00407;C6H13NO2;x;131,1729;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);cis-Aconitate;C00417;C6H6O6;x;174,1082;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);N-Acetylornithine;C00437;C7H14N2O3;x;174,1977;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);N-Acetyl-L-glutamate;C00624;C7H11NO5;x;189,1659;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);(S)-3-Methyl-2-oxopentanoic acid;C00671;C6H10O3;x;130,1418;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);L-2-Aminoadipate;C00956;C6H11NO4;x;161,1558;0;0;false;;;;;;;;;;;;;;;;
2-Oxocarboxylic acid metabolism - Homo sapiens (human);Oxalosuccinate;C05379;C6H6O7;x;190,1076;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);(S)-1-Pyrroline-5-carboxylate;C03912;C5H7NO2;x;113,1146;0;0;false;;;;;;;;;;;;;;;;
Alanine, aspartate and glutamate metabolism - Homo sapiens (human);2-Oxoglutaramate;C00940;C5H7NO4;x;145,1134;0;0;false;;;;;;;;;;;;;;;;
